[ 2021-12-18 11:46:06,252 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741826 found"
[ 2021-12-18 11:46:08,928 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741867 found"
[ 2021-12-18 11:46:10,143 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741827 found"
[ 2021-12-18 11:46:10,918 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741921 found"
[ 2021-12-18 11:46:11,815 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741824 found"
[ 2021-12-18 11:46:12,160 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741867 found"
[ 2021-12-18 11:46:14,468 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741929 found"
[ 2021-12-18 11:46:17,677 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741867 found"
[ 2021-12-18 11:46:20,130 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741827 found"
[ 2021-12-18 11:46:23,456 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741827 found"
[ 2021-12-18 11:46:24,426 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741929 found"
[ 2021-12-18 11:46:29,004 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741827 found"
[ 2021-12-18 11:46:30,107 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741827 found"
[ 2021-12-18 11:46:32,096 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741867 found"
[ 2021-12-18 11:46:35,641 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741827 found"
[ 2021-12-18 11:46:37,625 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741867 found"
[ 2021-12-18 11:46:41,074 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741929 found"
[ 2021-12-18 11:46:46,602 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741929 found"
[ 2021-12-18 11:46:47,737 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741929 found"
[ 2021-12-18 11:46:49,701 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741921 found"
[ 2021-12-18 11:46:52,038 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741867 found"
[ 2021-12-18 11:46:55,241 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741921 found"
[ 2021-12-18 11:46:57,584 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741867 found"
[ 2021-12-18 11:47:03,119 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741867 found"
[ 2021-12-18 11:47:06,552 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741929 found"
[ 2021-12-18 11:47:14,569 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741929 found"
[ 2021-12-18 11:47:22,049 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741929 found"
[ 2021-12-18 11:47:23,173 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741929 found"
[ 2021-12-18 11:47:27,382 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741921 found"
[ 2021-12-18 11:47:28,730 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741929 found"
[ 2021-12-18 11:47:32,964 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741921 found"
[ 2021-12-18 11:47:34,063 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741921 found"
[ 2021-12-18 11:47:48,493 ] "updateOrCreateCreatureFromProtobuf: no creature with id 1073741921 found"
